index;COORDENADOR;AREA;TITULO;SITUACAO;PERIODO;EDITAL;RESUMO
0;Marcos Alves Fontes;CONVERSÃO E RETIFICAÇÃO DA ENERGIA ELÉTRICA (SISTEMAS ELÉTRICOS DE POTÊNCIA (ENGENHARIA ELÉTRICA (ENGENHARIAS)));Influência das características do vento na geração de energia elétrica a partir da energia eólica.;Concluído;2021;[2021 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação Ciência e Tecnologia de São Paulo;A energia eólica, dentre as diversas fontes de energia renováveis existentes, tem sido, juntamente com a energia fotovoltaica, explorada fortemente como alternativa para substituição e/ou complementação de obtenção de energia elétrica a partir das usinas hidrelétricas. Apesar do impacto visual e sonoro causado pela presença de grandes parques eólicos, diversos benefícios podem ser citados, com destaque para a possibilidade da produção de energia a partir de uma fonte limpa e inesgotável, com baixo impacto ambiental de instalação, quando comparada com as usinas hidrelétricas por exemplo. Estudos mostram que o desempenho ótimo do aerogerador depende de variáveis como a complexidade da topografia local, do clima da região e da variabilidade temporal e espacial do vento. A grande contribuição para a geração de energia elétrica a partir da energia eólica, está diretamente ligada a velocidade do vento no local da instalação. Neste contexto, o objetivo deste trabalho de pesquisa é de verificar a influência de algumas características do vento, como a velocidade de deslocamento da massa de ar, bem como a sua estabilidade e/ou oscilação ao longo de um certo período de tempo, na capacidade de geração de energia elétrica a partir da energia renovável denominada de energia eólica.
1;Estela de Sousa Rossetto;ZOOLOGIA (CIÊNCIAS BIOLÓGICAS);Aranhas do IFSP Sertãozinho e suas teias.;Concluído;2021;[2021 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação Ciência e Tecnologia de São Paulo;Aranhas podem ser divididas em dois grandes grupos, as que produzem e as que não produzem teias. Nesse trabalho serão estudadas as construtoras de teias, que são produzidas por glândulas abdominais e são compostas por proteínas. As teias são classificadas de acordo com seu formato, irregular ou orbicular. Teias orbiculares podem ser cribeladas, que são constituídas pelo fio cribelado (penteado), ou ecribeladas, compostas pelo fio viscoso.  Apesar de apresentarem diferenças, ambas são utilizadas nas capturas de presas, além de desempenharem outras funções, como na ajuda para fugir de predadores, saco de ovos ou abrigo, tendo papeis essenciais para a sobrevivência das aranhas. O presente trabalho insere-se em um projeto maior, que é o estudo da fauna encontrada no Campus, iniciado com as aves, continuado com as borboletas e mariposas e agora focando nas aranhas. O projeto prevê adaptação para o caso de trabalho remoto.
2;Gisele Baraldi Messiano;QUÍMICA DOS PRODUTOS NATURAIS (QUÍMICA ORGÂNICA (QUÍMICA (CIÊNCIAS EXATAS E DA TERRA)));Estudo fitoquímico da espécie Aristolochia malmeana;Concluído;2021;[2021 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação Ciência e Tecnologia de São Paulo;A família Aristolochiaceae tem sido muito estudada durante as últimas décadas devido ao seu vasto uso na medicina tradicional. As espécies dessa família são geralmente lenhosas, compostas por uma única flor que apresenta cavidade que funciona como armadilha para seus polinizadores. Uma das espécies que se encontra ainda em estudo é a Aristolochia malmeana, portanto, o presente projeto de pesquisa visa a busca de novos esqueletos carbônicos com possíveis atividades biológicas desta espécie, conhecida por “cipó-mil-homens”. Desse modo, os extratos e metabólitos isolados serão sujeitos à testes de atividades biológicas, podendo assim, o estudo ser utilizado para disseminação ao público das propriedades da espécie em questão.
3;Andre Luis Dias;ENGENHARIA ELÉTRICA (ENGENHARIAS);Uma proposta para diagnóstico inteligente de falhas em bombas hidráulicas por meio de aplicação de ferramentas de aprendizagem de máquinas em dados comuns disponíveis em redes industriais;Concluído;2021;[2021 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação Ciência e Tecnologia de São Paulo;Este trabalho tem por objetivo principal propor um sistema inteligente de diagnóstico de falhas em bombas hidráulicas, a partir de dados da corrente elétrico disponíveis na rede de comunicação industrial pelos drivers de acionamentos. Busca-se a caracterização de uma bancada experimental para coleta de dados, extração de informações relevantes dos sinais de corrente elétricas das bombas hidráulicas em diferentes condições de operação, utilizando estratégias de seleção de atributos, e finalmente investiga-se algoritmos de reconhecimento de padrões para identificação de falhas. Trata-se da continuação de um trabalho anterior, onde espera-se que o sistema de diagnóstico de falhas inteligente possa ser empregado em processos industriais reais, gerando grande economia em relação a tempo de parada de máquinas e aumento de disponibilidade das plantas industriais.
4;Rozangela Nogueira de Moraes;LINGUÍSTICA APLICADA (LINGUÍSTICA  (LINGUÍSTICA, LETRAS E ARTES));O IMPACTO DO CENTRO DE LÍNGUAS  NA FORMAÇÃO INICIAL DE PROFESSORES;Concluído;2021;[2021 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação Ciência e Tecnologia de São Paulo;Teoria e prática são termos que tendem a atuar em concordância, já que toda prática precisa ser fomentada por uma teoria, e esta, por sua vez, se não for colocada em prática, perde muito de sua importância. Nesse contexto, ao frequentar as aulas, os alunos recebem muitas informações e direcionamentos para serem colocados em prática na sala de aula, quando atuarem como docentes. Desse modo, quando se deparam com uma sala de aula, em que têm que atuar sozinhos, surge uma insegurança. Todavia, em algumas instituições de ensino superior, existem Centro de Línguas, como o Celin, que auxiliam os alunos em formação, haja vista que o grupo docente é composto pelos alunos em desenvolvimento profissional, da própria instituição, sob a supervisão de um docente/orientador. Sendo assim, os Centros de Línguas contribuem para um primeiro contato entre o professor e a sala de aula, fazendo com que o aluno em formação absorva ao máximo as experiências contempladas. Nesse contexto, o presente projeto tem como objetivo analisar o impacto do Celin na formação de professores e compreender as colaborações que ele proporcionará ao licenciando na sala de aula, estudando sua relevância em outras instituições além do IFSP - Câmpus Sertãozinho.
5;Marina Caprio;AVAL. DE SISTEMAS, INST. PLANOS  E PROGRAMAS EDUCACIONAIS (PLANEJAMENTO E AVALIAÇÃO EDUCACIONAL (EDUCAÇÃO (CIÊNCIAS HUMANAS)));A formação de professores a partir da BNC-Formação e da BNC-Formação Continuada: o que os documentos nos dizem sobre o ser professor.;Concluído;2021;[2021 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação Ciência e Tecnologia de São Paulo;O presente projeto de Iniciação Científica tem como objetivo compreender como as Diretrizes Curriculares Nacionais para a Formação Inicial de Professores para a Educação Básica (BNC-Formação) e as Diretrizes Curriculares Nacionais para a Formação Continuada de Professores da Educação Básica (BNC-Formação Continuada) concebem e influenciam a formação inicial e continuada de professores. Historicamente a formação de professores no Brasil inicia seu processo de estruturação tardiamente, apenas após a Independência. Essa formação específica tardia trouxe consequências na concepção de formação de professores e nos conhecimentos que a estruturaram, ora apresentando tendências excessivamente técnicas ora exclusivamente pedagógicas. Autores identificam que as diferentes concepções e referenciais que fundamentaram a organização da formação de professores impactaram diretamente a forma de organização da instituição escolar. Atualmente, a legislação educacional traz dois documentos que norteiam e estruturam a formação inicial e continuada de professores. Neste sentido este trabalho busca entender como está concebida a formação de professores nos documentos oficiais e de que modo estes dispositivos legais influenciarão o trabalho docente
6;Andre Luis Dias;ENGENHARIA ELÉTRICA (ENGENHARIAS);Análise Passiva de redes de comunicação industrial PROFINET;Concluído;2021;[2021 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação Ciência e Tecnologia de São Paulo;Este trabalho propõe analisar redes de comunicação industrial que empregam o protocolo PROFINET, um dos protocolos mais utilizados no que tange a número de aplicações, apresentando um futuro promissor. As ferramentas de análise e monitoramento de redes industriais fornecem ao usuário informações para a prevenção e correção de falhas. Assim, ajudam a reduzir os prejuízos financeiros provenientes de paradas não programadas na produção. A análise da rede deste trabalho, é elaborada a partir de uma coleta do tráfego da rede, no link de comunicação entre o controlador e os diversos dispositivos da rede. Trata-se de uma continuação de trabalhos anteriores, sendo ampliado em relação ao desenvolvimento de uma análise passiva de redes PROFINET, a partir de uma simples coleta de tráfego da rede no link de comunicação entre controladores e dispositivos da rede. O sistema desenvolvido é verificado a partir de experimentos práticos utilizando diversas configurações de redes PROFINET como: diferentes valores de tempo de ciclo, topologia e quantidade de dispositivos na rede. A análise dos dados baseia-se em diversos indicadores de desempenho e um relatório é gerado ao usuário final da tecnologia.
7;Nemesio Freitas Duarte Filho;SISTEMA DE COMPUTAÇÃO (CIÊNCIA DA COMPUTAÇÃO (CIÊNCIAS EXATAS E DA TERRA));Jogo educacional com foco no ensino e aprendizagem da disciplina de acionamentos elétricos utilizando a plataforma Unity;Concluído;2021;[2021 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação Ciência e Tecnologia de São Paulo;Com o avanço da tecnologia surgiram novas alternativas para potencializar o ensino e aprendizagem, os jogos digitais podem ser de grande ajuda nesse aspecto, onde o aprendiz pode aprender e ao mesmo tempo se entreter. Neste contexto, os jogos vêm sendo utilizados em diversas áreas do conhecimento, possibilitando maior flexibilidade e motivação no ensino e treinamento por parte dos aprendizes. Esta disseminação de conhecimento permite apoiar o ensino na área das Engenharias, possibilitando motivar professores, tutores e aprendizes em relação a disciplinas e temas mais teóricos e abstratos. O conhecimento sobre conceitos de acionamentos elétricos é de grande importância em áreas como engenharia elétrica, eletrônica e automação industrial, sendo assim, o apoio à aprendizagem desta disciplina é de grande ajuda, tanto para os alunos quanto para os professores. Deste modo, este projeto tem como objetivo o desenvolvimento de um jogo educacional visando o auxílio na aprendizagem da disciplina de acionamentos elétricos. O jogo utilizará personagens e história lúdicos, de forma a ensinar o usuário de maneira simples e objetiva, incentivando a utilização dos conhecimentos adquiridos em aula para a resolução de problemas propostos no decorrer do jogo.
8;Pio Antonio de Figueiredo;ENGENHARIA ELÉTRICA (ENGENHARIAS);Proposta para implantação de sistema de controle e análise da eficiência das bombas de recalque via smartphone, para uso racional e economia de água e energia elétrica no IFSP - campus Sertãozinho.;Concluído;2021;[2021 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação Ciência e Tecnologia de São Paulo;1. RESUMO     O presente projeto visa elaborar um sistema de controle e automação para as motobombas do sistema de abastecimento de água do IFSP campus Sertãozinho, aplicando os conceitos de automação e acionamento elétrico para motores, utilizando medidores de vazão tipo magnético e inversor de frequência, de modo a medir e controlar o consumo de água e energia, bem como os parâmetros da motobomba, tais como corrente, potência e fator de potência. O objetivo do projeto é o de promover uma racionalização do consumo de água, apontando possíveis vazamentos e mau funcionamento das motobombas. Será implantada uma conexão de dados para aparelhos tipo smartphone, de modo a apresentar dados do processo e alarmes no visor do celular para monitoramento do funcionamento do sistema de abastecimento do IF Sertãozinho. Com isso, será possível uma otimização dos sistemas de abastecimentos existentes, com eliminação de possíveis vazamentos, e, portanto, combate ao desperdício de água, diminuição de custos de consumo de água e energia elétrica.
9;Nemesio Freitas Duarte Filho;SISTEMA DE COMPUTAÇÃO (CIÊNCIA DA COMPUTAÇÃO (CIÊNCIAS EXATAS E DA TERRA));Criação de uma Narrativa Digital para Apoiar o Ensino da Disciplina de Acionamentos Elétricos no Curso de Automação Industrial;Concluído;2021;[2021 - SRT] - Programa Institucional de Bolsas de Iniciação Científica e Tecnológica do Instituto Federal de Educação Ciência e Tecnologia de São Paulo;"O ensino de acionamentos elétricos é essencial aos alunos do curso de Automação Industrial, pois permite a contextualização dos conhecimentos e fenômenos relacionados aos elementos, características dos motores elétricos. Entretanto, o ensino de tal disciplina traz desafios, já que muitas vezes a mesma é identificada pelos alunos como muito abstrata e de difícil compreensão. Atualmente, professores de diferentes disciplinas estão buscando diversos recursos didáticos para o ensino, como é o caso do uso de músicas, imagens, jogos etc., destacando-se o uso das novas tecnologias digitais. Dessa forma, o presente projeto possui como objetivo compreender como a criação de narrativas digitais por meio da rede social Facebook e sua utilização enquanto recurso didático pode contribuir com o ensino de acionamentos elétricos no contexto do Ensino Médio Integrado, proporcionando um cenário mais lúdico, motivador e aprendizagens mais significativas em relação ao conteúdo dos equipamentos digitais; suas características; e formas de utilização. Como forma de validação, o recurso didático será utilizado no contexto do Ensino Médio Integrado e serão coletados dados por meio da aplicação de um questionário online aos alunos, buscando compreender a motivação, bem como os conhecimentos adquiridos pelos mesmos."
